日期,星期,最高温度,最低温度,天气,风向,风力,雨量等级
20230801,2,28,25,中雨~小雨,东南风,2,4
20230802,3,31,26,多云~晴,西南风,3,0
20230803,4,32,26,多云~小雨,西南风,2,1
20230804,5,34,26,多云,东北风,1,0
20230805,6,36,25,阴~小雨,东北风,2,1
20230806,7,28,23,阴~多云,南风,2,0
20230807,1,27,23,阴~小雨,东南风,1,1
20230808,2,31,24,多云,南风,2,0
20230809,3,33,24,多云~小雨,东南风,1,1
20230810,4,32,23,多云~阴,东南风,2,1
20230811,5,29,23,阴~中雨,东南风,1,3
20230812,6,31,22,阴~晴,东风,2,0
20230813,7,34,23,多云~晴,南风,1,0
20230814,1,35,24,晴,西南风,1,0
20230815,2,34,24,阴~晴,西南风,2,0
20230816,3,35,24,阴~多云,南风,1,0
20230817,4,32,25,阴,东南风,2,0
20230818,5,36,22,阴~多云,西北风,1,0
20230819,6,35,23,晴~多云,东南风,1,0
20230820,7,33,23,阴~中雨,东南风,2,3
20230821,1,29,22,阴~晴,西南风,2,0
20230822,2,31,20,晴,东北风,2,0
20230823,3,31,21,多云~雷阵雨,东南风,1,2
20230824,4,22,18,小雨~多云,东北风,1,1
20230825,5,28,21,阴~雷阵雨,西南风,1,2
20230826,6,25,25,多云,东南风,4,0
20230827,7,32,22,晴,西风,1,0
20230828,1,33,25,多云,东南风,3,0
20230829,2,22,10,阴,北风,2,0
20230830,3,32,20,晴,西南风,3,0
20230831,4,25,24,晴,东南风,4,0
