,日期,小时,单量
0,20230801,9,2
1,20230801,10,13
2,20230801,11,20
3,20230801,12,23
4,20230801,13,13
5,20230801,14,18
6,20230801,15,10
7,20230801,16,23
8,20230801,17,18
9,20230801,18,31
10,20230801,19,28
11,20230801,20,24
12,20230801,21,29
13,20230801,22,25
14,20230801,23,28
15,20230802,0,24
16,20230802,1,7
17,20230802,2,7
18,20230802,3,4
19,20230802,4,4
20,20230802,5,7
21,20230802,6,5
22,20230802,7,11
23,20230802,8,6
24,20230802,9,14
25,20230802,10,17
26,20230802,11,12
27,20230802,12,19
28,20230802,13,15
29,20230802,14,13
30,20230802,15,5
31,20230802,16,12
32,20230802,17,12
33,20230802,18,20
34,20230802,19,23
35,20230802,20,21
36,20230802,21,26
37,20230802,22,25
38,20230802,23,22
39,20230803,0,18
40,20230803,1,11
41,20230803,2,7
42,20230803,3,7
43,20230803,4,1
44,20230803,5,1
45,20230803,6,3
46,20230803,7,3
47,20230803,8,10
48,20230803,9,10
49,20230803,10,13
50,20230803,11,12
51,20230803,12,18
52,20230803,13,19
53,20230803,14,14
54,20230803,15,18
55,20230803,16,11
56,20230803,17,18
57,20230803,18,22
58,20230803,19,19
59,20230803,20,26
60,20230803,21,41
61,20230803,22,25
62,20230803,23,17
63,20230804,0,17
64,20230804,1,10
65,20230804,2,13
66,20230804,3,5
67,20230804,4,3
68,20230804,5,8
69,20230804,6,3
70,20230804,7,3
71,20230804,8,10
72,20230804,9,16
73,20230804,10,22
74,20230804,11,24
75,20230804,12,16
76,20230804,13,18
77,20230804,14,21
78,20230804,15,23
79,20230804,16,17
80,20230804,17,22
81,20230804,18,27
82,20230804,19,25
83,20230804,20,33
84,20230804,21,30
85,20230804,22,38
86,20230804,23,31
87,20230805,0,15
88,20230805,1,15
89,20230805,2,6
90,20230805,3,6
91,20230805,4,3
92,20230805,5,3
93,20230805,6,5
94,20230805,7,7
95,20230805,8,10
96,20230805,9,24
97,20230805,10,22
98,20230805,11,27
99,20230805,12,33
100,20230805,13,20
101,20230805,14,22
102,20230805,15,24
103,20230805,16,18
104,20230805,17,15
105,20230805,18,20
106,20230805,19,17
107,20230805,20,22
108,20230805,21,21
109,20230805,22,32
110,20230805,23,24
111,20230806,0,7
112,20230806,1,9
113,20230806,2,4
114,20230806,3,5
115,20230806,4,3
116,20230806,5,2
117,20230806,6,1
118,20230806,7,5
119,20230806,8,14
120,20230806,9,10
121,20230806,10,17
122,20230806,11,15
123,20230806,12,16
124,20230806,13,19
125,20230806,14,27
126,20230806,15,18
127,20230806,16,15
128,20230806,17,20
129,20230806,18,22
130,20230806,19,23
131,20230806,20,25
132,20230806,21,25
133,20230806,22,20
134,20230806,23,22
135,20230807,0,9
136,20230807,1,9
137,20230807,2,6
138,20230807,3,1
139,20230807,4,5
140,20230807,5,4
141,20230807,6,1
142,20230807,7,2
143,20230807,8,8
144,20230807,9,8
145,20230807,10,11
146,20230807,11,15
147,20230807,12,11
148,20230807,13,13
149,20230807,14,15
150,20230807,15,18
151,20230807,16,14
152,20230807,17,13
153,20230807,18,23
154,20230807,19,19
155,20230807,20,29
156,20230807,21,23
157,20230807,22,26
158,20230807,23,18
159,20230808,0,19
