,日期,门店,单量,天气状况,风力风向(夜间/白天),最高温度,最低温度,风力,天气,温度,date,星期,是否节假日,是否周末,是否雨天,是否晴天,是否雪天,是否阴天,是否多云,门店标识
0,20230801,64b5044e406bb091e6fb23c7,305,晴  /阵雨,北风 1-2级  /北风 1-2级,27.0,33.0,1.5,23,30.0,2023-08-01,1,0,0,1,1,0,0,0,8
1,20230802,64b5044e406bb091e6fb23c7,331,多云  /多云,北风 1-2级  /北风 1-2级,27.0,33.0,1.5,12,30.0,2023-08-02,2,0,0,0,0,0,0,1,8
2,20230803,64b5044e406bb091e6fb23c7,344,雷阵雨  /雷阵雨,北风 1-2级  /北风 1-2级,26.0,33.0,1.5,22,29.5,2023-08-03,3,0,0,1,0,0,0,0,8
3,20230804,64b5044e406bb091e6fb23c7,435,阵雨  /阵雨,西南风 3-4级  /西南风 3-4级,26.0,32.0,3.5,23,29.0,2023-08-04,4,0,0,1,0,0,0,0,8
4,20230805,64b5044e406bb091e6fb23c7,411,雷阵雨  /多云,西南风 3-4级  /北风 1-2级,27.0,32.0,2.5,22,29.5,2023-08-05,5,1,1,1,0,0,0,1,8
5,20230806,64b5044e406bb091e6fb23c7,344,多云  /多云,北风 1-2级  /北风 1-2级,28.0,33.0,1.5,12,30.5,2023-08-06,6,1,1,0,0,0,0,1,8
6,20230807,64b5044e406bb091e6fb23c7,301,阵雨  /多云,北风 1-2级  /北风 1-2级,26.0,33.0,1.5,23,29.5,2023-08-07,0,0,0,1,0,0,0,1,8
7,20230808,64b5044e406bb091e6fb23c7,311,多云  /多云,北风 1-2级  /北风 1-2级,28.0,33.0,1.5,12,30.5,2023-08-08,1,0,0,0,0,0,0,1,8
8,20230809,64b5044e406bb091e6fb23c7,322,雷阵雨  /中雨,北风 1-2级  /北风 1-2级,27.0,33.0,1.5,24,30.0,2023-08-09,2,0,0,1,0,0,0,0,8
9,20230810,64b5044e406bb091e6fb23c7,307,中雨  /暴雨,北风 1-2级  /北风 1-2级,25.0,33.0,1.5,26,29.0,2023-08-10,3,0,0,1,0,0,0,0,8
10,20230811,64b5044e406bb091e6fb23c7,317,大雨  /大雨,北风 3-4级  /北风 3-4级,25.0,30.0,3.5,25,27.5,2023-08-11,4,0,0,1,0,0,0,0,8
11,20230812,64b5044e406bb091e6fb23c7,404,雷阵雨  /雷阵雨,北风 1-2级  /北风 1-2级,26.0,31.0,1.5,22,28.5,2023-08-12,5,1,1,1,0,0,0,0,8
12,20230813,64b5044e406bb091e6fb23c7,375,阵雨  /多云,西南风 3-4级  /西南风 3-4级,27.0,32.0,3.5,23,29.5,2023-08-13,6,1,1,1,0,0,0,1,8
13,20230814,64b5044e406bb091e6fb23c7,297,阵雨  /阵雨,北风 1-2级  /北风 1-2级,25.0,31.0,1.5,23,28.0,2023-08-14,0,0,0,1,0,0,0,0,8
14,20230815,64b5044e406bb091e6fb23c7,329,雷阵雨  /多云,北风 1-2级  /北风 1-2级,28.0,31.0,1.5,22,29.5,2023-08-15,1,0,0,1,0,0,0,1,8
15,20230816,64b5044e406bb091e6fb23c7,397,阴  /雷阵雨,北风 1-2级  /北风 1-2级,26.0,32.0,1.5,22,29.0,2023-08-16,2,0,0,1,0,0,1,0,8
